,PassengerNumber,Name,HomePlanet,Destination,deck,numofcabin,side,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
18,16,Alus Upead,Mars,TRAPPIST-1e,F,5,P,45,True,False,0,0,0,0,0,True
19,17,Lyde Brighttt,Earth,TRAPPIST-1e,G,0,P,0,False,False,0,0,0,0,0,True
20,17,Philda Brighttt,Earth,55 Cancri e,F,6,P,14,False,False,412,0,1,0,679,False
21,20,Almary Brantuarez,Earth,TRAPPIST-1e,E,0,S,1,True,False,0,0,0,0,0,False
22,20,Glendy Brantuarez,Earth,55 Cancri e,E,0,S,49,True,False,0,0,0,0,0,False
23,20,Mollen Mcfaddennon,Earth,55 Cancri e,E,0,S,29,True,False,0,0,72,0,0,False
24,20,Breney Jacostanley,Earth,TRAPPIST-1e,E,0,S,10,False,False,0,0,0,0,0,True
25,20,Mael Brantuarez,Earth,PSO J318.5-22,E,0,S,1,True,False,2267,0,0,0,0,False
26,20,Terta Mcfaddennon,Earth,TRAPPIST-1e,E,0,S,7,False,False,0,0,0,0,0,False
27,22,Squars Anake,Mars,TRAPPIST-1e,D,0,P,21,False,False,980,2,69,0,0,False
28,24,Penton Fullided,Europa,TRAPPIST-1e,C,2,S,62,True,False,0,0,7,0,0,True
29,25,Karard Brookenson,Earth,TRAPPIST-1e,F,6,S,15,False,False,0,225,0,998,0,False
30,26,Anyoni Unconary,Europa,55 Cancri e,C,0,P,34,False,False,22,6073,0,1438,328,False
31,28,Ceros Mare,Mars,TRAPPIST-1e,F,8,P,43,False,False,1125,0,136,48,0,False
32,30,Ginia Morsentley,Earth,TRAPPIST-1e,G,4,S,32,False,False,0,850,81,437,453,False
33,31,Coobix Datie,Mars,TRAPPIST-1e,F,9,P,47,False,False,214,0,1411,0,1229,True
34,31,Cinets Datie,Mars,TRAPPIST-1e,F,9,P,2,False,False,0,0,0,0,0,True
35,31,Dontch Datie,Mars,TRAPPIST-1e,F,9,P,20,False,False,0,0,1750,990,0,True
36,34,Ziba Oingwhedly,Europa,55 Cancri e,D,1,S,28,True,False,0,0,0,0,0,True
37,35,Luse Butte,Mars,55 Cancri e,D,1,P,23,False,False,784,964,0,951,0,False
38,36,Marina Leodger,Earth,55 Cancri e,F,8,S,15,False,False,0,492,48,20,401,False
39,38,Loise Wheelez,Earth,55 Cancri e,F,10,S,20,False,False,554,195,0,2606,0,False
40,39,Jorgie Batthewitt,Earth,55 Cancri e,G,1,P,30,True,False,0,0,2011,0,0,False
41,41,Margia Moodsey,Earth,TRAPPIST-1e,G,2,P,17,True,False,0,0,0,0,0,True
42,43,Ankalik Cylistrand,Europa,TRAPPIST-1e,B,3,P,45,False,False,0,164,45,2511,855,False
43,44,Jodye Coopelandez,Earth,TRAPPIST-1e,G,3,P,55,True,False,0,0,0,0,0,False
44,44,Kayne Coopelandez,Earth,55 Cancri e,G,3,P,4,True,False,0,0,0,0,0,True
45,44,Cassa Coopelandez,Earth,PSO J318.5-22,G,3,P,21,True,False,0,0,0,0,0,True
46,45,Zelowl Chmad,Mars,TRAPPIST-1e,F,10,P,21,False,False,970,0,180,0,64,False
47,45,Mass Chmad,Mars,TRAPPIST-1e,F,10,P,19,True,False,0,0,0,0,0,True
48,50,Sony Lancis,Earth,55 Cancri e,E,1,S,35,False,False,790,0,0,0,0,False
49,51,Vivia Johnshines,Earth,TRAPPIST-1e,E,2,S,56,False,False,0,112,0,1379,127,False
50,52,Elaney Hubbarton,Earth,TRAPPIST-1e,G,6,S,0,False,False,4,0,2,4683,0,False
51,53,Elson Hickerson,Earth,TRAPPIST-1e,F,11,S,25,False,False,0,0,1938,0,1,True
52,56,Okulas Tractive,Europa,TRAPPIST-1e,A,1,S,2,False,False,0,0,0,0,0,True
53,56,Instab Tractive,Europa,TRAPPIST-1e,A,1,S,38,True,False,0,0,0,0,0,True
54,56,Zinoces Tractive,Europa,TRAPPIST-1e,A,1,S,27,False,False,279,605,3374,286,3,True
55,58,Warry Ayalazquez,Earth,PSO J318.5-22,G,7,S,36,True,False,0,0,0,0,0,False
56,61,Shanya Salez,Earth,TRAPPIST-1e,F,12,S,22,False,False,45,1096,148,1377,1,False
57,62,Sterry Greeves,Earth,TRAPPIST-1e,F,13,S,62,False,False,0,592,0,17,25,False
58,64,Elody Flowensley,Mars,TRAPPIST-1e,F,14,S,15,True,False,0,0,0,0,0,True
59,64,Colatz Keen,Europa,TRAPPIST-1e,E,3,S,33,True,False,0,0,0,0,0,True
60,66,Diandy Pecketton,Earth,TRAPPIST-1e,G,6,P,62,False,False,1,153,197,0,460,False
61,67,Ninaha Leeves,Earth,PSO J318.5-22,G,10,S,0,True,False,0,0,0,0,0,True
62,67,Celine Leeves,Earth,TRAPPIST-1e,G,10,S,18,False,False,1,258,446,0,0,True
63,67,Velyne Leeves,Earth,55 Cancri e,F,15,S,21,False,False,1946,37,0,0,24,False
64,68,Cinst Binie,Mars,TRAPPIST-1e,E,4,S,35,False,False,793,0,2,253,0,False
65,69,Terion Mallisly,Earth,TRAPPIST-1e,F,16,S,42,False,False,887,0,9,6,0,True
66,70,Meremy Brighttt,Earth,TRAPPIST-1e,F,13,P,19,False,False,190,0,5,1,726,False
67,71,Nelly Dillines,Earth,TRAPPIST-1e,F,14,P,17,False,False,16,2165,0,0,52,False
68,72,Thell Brantuarez,Earth,TRAPPIST-1e,F,17,S,14,False,False,0,1,0,0,1063,False
69,73,Gorn Make,Mars,PSO J318.5-22,D,3,P,37,False,False,46,83,738,0,12,False
70,74,Aldibah Mostedry,Europa,TRAPPIST-1e,C,3,S,42,False,False,1,8397,0,0,506,True
71,76,Conk Dal,Mars,TRAPPIST-1e,F,18,S,27,False,False,147,0,1018,0,0,True
72,77,Pon Blité,Mars,TRAPPIST-1e,F,15,P,28,False,False,14,0,1295,0,0,True
73,78,Spuri Pokerheed,Europa,TRAPPIST-1e,C,4,S,38,False,False,0,5840,0,321,9654,False
74,81,Dellie Vinozarks,Earth,TRAPPIST-1e,G,13,S,13,True,False,0,0,0,0,0,False
75,82,Totse Datte,Mars,TRAPPIST-1e,F,16,P,42,False,False,7406,0,0,0,0,False
76,82,Eaturs Datte,Mars,TRAPPIST-1e,F,16,P,2,True,False,0,0,0,0,0,True
77,82,Castab Brakeril,Mars,TRAPPIST-1e,F,16,P,8,False,False,0,0,0,0,0,True
78,84,Coren Coopezmaney,Earth,TRAPPIST-1e,G,14,S,24,False,False,688,0,0,0,17,True
79,85,Furudah Ellcefulve,Europa,TRAPPIST-1e,C,5,S,40,True,False,0,0,0,0,0,True
80,86,Jodye Kinson,Earth,TRAPPIST-1e,F,17,P,43,False,False,211,0,0,638,513,False
81,88,Stmeal Sacre,Mars,PSO J318.5-22,E,5,S,45,True,False,0,0,0,0,0,True
82,90,Heremy Santry,Earth,TRAPPIST-1e,G,15,S,35,True,False,0,0,0,0,0,True
83,91,Deanne Yorkland,Earth,TRAPPIST-1e,G,16,S,26,True,False,0,0,0,0,0,True
84,91,Tinez Yorkland,Earth,TRAPPIST-1e,F,20,S,27,False,False,1,697,31,188,0,False
85,92,Gracy Dunnisey,Earth,TRAPPIST-1e,G,9,P,19,False,False,0,0,670,1,34,False
86,92,Stald Hewson,Earth,TRAPPIST-1e,G,9,P,0,True,False,0,0,0,0,0,True
87,92,Tiney Hewson,Earth,TRAPPIST-1e,G,9,P,3,True,False,0,0,0,0,0,True
88,97,Alchium Fictful,Europa,TRAPPIST-1e,A,2,S,54,False,False,0,1208,0,3,637,False
89,98,Doria Carezquez,Earth,TRAPPIST-1e,G,11,P,26,False,False,0,856,5,32,0,False
90,98,Leence Carezquez,Earth,TRAPPIST-1e,G,11,P,26,False,False,0,2811,957,0,87,True
91,99,Aliey Leetersoney,Earth,PSO J318.5-22,F,19,P,23,False,False,311,427,526,37,0,False
92,99,Thewis Connelson,Earth,TRAPPIST-1e,G,12,P,2,False,False,0,0,0,0,0,True
93,101,Book Trad,Mars,TRAPPIST-1e,E,310,S,31,True,False,0,0,0,0,0,True
94,102,Ritany Holson,Earth,TRAPPIST-1e,F,23,S,18,False,False,0,0,0,830,91,False
95,103,Arlen Mclainez,Earth,TRAPPIST-1e,F,24,S,24,False,False,0,0,0,0,17,True
96,103,Shaele Mclainez,Earth,55 Cancri e,G,18,S,9,True,False,0,0,0,0,0,True
97,103,Fanne Mclainez,Earth,TRAPPIST-1e,G,18,S,6,True,False,0,0,0,0,0,False
98,105,Carry Cleachrand,Earth,TRAPPIST-1e,F,21,P,27,True,False,0,0,570,2,131,False
99,107,Coobix Hart,Mars,TRAPPIST-1e,D,2,S,21,False,False,1743,5,17,0,0,False
100,108,Natald Handertiz,Earth,TRAPPIST-1e,G,19,S,23,True,False,0,0,0,0,0,False
101,108,Belly Woodwinez,Earth,TRAPPIST-1e,G,19,S,31,False,False,562,0,326,0,0,False
102,108,Oline Handertiz,Earth,TRAPPIST-1e,G,19,S,0,False,False,0,0,0,0,0,True
103,110,Graviph Aloubtled,Europa,TRAPPIST-1e,G,1434,S,32,False,False,0,410,6,3929,764,False
104,110,Aldeba Bootious,Europa,TRAPPIST-1e,B,5,P,40,True,False,0,331,0,0,1687,False
105,110,Alaratz Aloubtled,Europa,TRAPPIST-1e,B,5,P,42,False,False,2209,11418,0,1868,445,True
106,110,Izark Aloubtled,Europa,TRAPPIST-1e,B,5,P,28,True,False,0,0,0,0,0,True
107,111,Aldera Supred,Europa,TRAPPIST-1e,E,6,S,29,True,False,0,0,0,0,0,True
108,112,Moth Cowtale,Europa,55 Cancri e,B,1,S,48,False,True,0,2537,87,17,13,True
109,113,Idary Carvis,Earth,TRAPPIST-1e,F,23,P,64,False,False,0,0,804,0,0,True
110,114,Maura Beckerson,Earth,TRAPPIST-1e,G,20,S,27,False,False,82,157,429,238,1,False
111,115,Rohs Pead,Mars,TRAPPIST-1e,F,24,P,26,True,False,0,0,0,0,27,True
112,116,Alhenah Suptive,Europa,TRAPPIST-1e,D,4,P,33,False,False,1,2223,0,12,404,True
113,119,Batan Coning,Mars,TRAPPIST-1e,A,0,P,39,False,False,0,2344,0,65,6898,False
114,119,Kleeiak Coning,Europa,TRAPPIST-1e,A,0,P,13,True,False,0,0,0,0,0,True
115,120,Bees Sacre,Mars,TRAPPIST-1e,F,25,P,24,True,False,0,0,0,0,0,True
116,122,Shelle Hayder,Earth,TRAPPIST-1e,G,21,S,29,False,False,0,0,0,699,74,False
117,123,Iree Fielson,Earth,TRAPPIST-1e,F,27,P,18,False,False,55,597,49,0,1,False
118,126,Milly Mish,Mars,TRAPPIST-1e,F,27,S,67,True,False,0,0,0,0,0,True
119,127,Miloss Mesty,Mars,TRAPPIST-1e,E,7,S,35,False,False,701,0,296,0,25,False
120,128,Grohs Fles,Mars,TRAPPIST-1e,D,3,S,61,False,True,2353,334,9,316,2,False
121,128,Barave Fles,Mars,TRAPPIST-1e,E,8,S,45,False,False,2103,6,0,0,0,False
122,129,Race Fowles,Earth,PSO J318.5-22,G,22,S,22,True,False,0,0,922,0,0,True
123,133,Flynx Blie,Mars,TRAPPIST-1e,F,29,S,19,True,False,0,0,0,0,0,True
124,133,Egrasp Blie,Mars,TRAPPIST-1e,D,5,S,36,False,False,2738,0,0,0,0,False
125,134,Camina Harmontry,Earth,TRAPPIST-1e,G,17,P,19,False,False,0,14,730,0,0,True
126,136,Edaruma Braned,Earth,PSO J318.5-22,G,23,S,47,False,False,97,418,126,25,55,False
127,138,Fayene Gambs,Earth,TRAPPIST-1e,G,18,P,13,True,False,0,0,0,0,0,True
128,138,Monah Gambs,Earth,55 Cancri e,E,5,P,34,False,False,0,22,0,564,207,False
129,139,Charda Myling,Europa,55 Cancri e,C,6,S,35,True,False,0,0,0,0,0,True
130,140,Evaley Mejiaddox,Earth,TRAPPIST-1e,G,19,P,24,True,False,0,0,0,0,0,True
131,140,Verney Whitakers,Earth,TRAPPIST-1e,F,29,P,26,False,False,440,0,0,0,462,False
132,141,Pyrohs Harte,Mars,TRAPPIST-1e,F,30,P,31,False,False,3,0,97,0,0,False
133,144,Guadae Dayers,Earth,TRAPPIST-1e,F,31,S,20,False,False,0,420,210,0,0,True
134,146,Verly Wolferguson,Earth,TRAPPIST-1e,G,25,S,56,False,False,0,0,0,0,0,False
135,147,Samie Hubbarrison,Earth,TRAPPIST-1e,G,26,S,50,True,False,0,0,0,0,0,True
136,148,Corsh Pashe,Mars,TRAPPIST-1e,F,31,P,42,False,False,1072,0,10,0,76,False
137,149,Billya Hubbarrison,Earth,55 Cancri e,G,27,S,27,True,False,0,0,0,0,0,True
138,151,Shanie Simson,Earth,55 Cancri e,G,20,P,38,True,False,0,0,0,0,0,False
139,152,Andan Estron,Earth,TRAPPIST-1e,F,32,P,41,False,False,0,0,0,0,607,False
140,160,Gory Atkinney,Earth,TRAPPIST-1e,G,22,P,22,False,False,4119,0,0,0,61,False
141,163,Kabiton Hetforhaft,Europa,TRAPPIST-1e,B,8,P,26,True,False,0,0,0,0,0,True
142,163,Scharab Hetforhaft,Europa,TRAPPIST-1e,B,8,P,17,True,False,0,0,0,0,0,True
143,164,Fany Hutchinton,Earth,TRAPPIST-1e,G,28,S,57,False,False,50,1688,0,0,135,True
144,164,Ianya Hutchinton,Earth,PSO J318.5-22,G,28,S,17,True,False,0,0,0,0,0,False
145,165,Graven Anche,Mars,TRAPPIST-1e,F,37,P,35,True,False,0,0,0,0,0,True
146,167,Miten Floaf,Mars,TRAPPIST-1e,F,35,S,13,True,False,0,0,0,0,0,True
147,167,Rios Floaf,Mars,TRAPPIST-1e,F,35,S,27,False,False,1365,0,48,22,137,False
148,169,Wandy Fisherry,Earth,TRAPPIST-1e,G,23,P,31,True,False,0,0,0,0,0,False
149,170,Mollie Mcmahoney,Earth,TRAPPIST-1e,E,10,S,24,False,False,0,0,0,221,567,False
150,171,Coracy Gordanieves,Earth,PSO J318.5-22,G,30,S,19,True,False,0,0,0,0,0,True
151,172,Hanna Johnshines,Earth,TRAPPIST-1e,G,24,P,32,True,False,0,0,0,0,0,True
152,173,Hilip Grifford,Earth,TRAPPIST-1e,E,11,S,58,False,False,0,985,0,5,0,True
153,174,Doryn Lambles,Earth,55 Cancri e,F,38,P,21,False,False,287,0,16,115,175,False
154,177,Toperon Iniouser,Europa,TRAPPIST-1e,B,2,S,38,False,False,0,10346,1,14970,2111,False
155,178,Wees Knik,Mars,TRAPPIST-1e,D,6,S,38,False,False,3414,0,161,28,119,False
156,179,Elaney Webstephrey,Earth,TRAPPIST-1e,G,26,P,19,False,False,1,219,673,2,11,True
157,179,Raque Webstephrey,Earth,TRAPPIST-1e,G,26,P,0,False,False,0,0,0,0,0,False
158,179,Sallyl Webstephrey,Earth,TRAPPIST-1e,G,26,P,3,False,False,0,0,0,0,0,True
159,181,Nancis Brighttt,Earth,TRAPPIST-1e,G,27,P,20,False,False,0,0,3,299,92,False
160,182,Ksorab Disight,Europa,TRAPPIST-1e,C,3,P,24,True,False,0,0,0,0,0,True
161,183,Stany Weaves,Earth,TRAPPIST-1e,F,36,S,37,False,False,17,146,426,0,232,True
162,186,Camiet Shephendry,Earth,TRAPPIST-1e,G,28,P,25,False,False,62,0,0,0,956,False
163,188,Branda Romez,Earth,TRAPPIST-1e,G,31,S,56,True,False,0,0,0,0,0,True
164,189,Helly Booters,Earth,55 Cancri e,E,8,P,49,False,False,84,3,401,202,98,False
165,190,Jonaye Rushing,Earth,55 Cancri e,G,32,S,11,True,False,0,0,0,0,0,False
166,192,Tance Adavisons,Earth,TRAPPIST-1e,G,29,P,1,True,False,0,0,0,0,0,True
167,192,Robyny Adavisons,Earth,TRAPPIST-1e,G,29,P,8,False,False,0,0,0,0,0,False
168,192,Lilace Adavisons,Earth,TRAPPIST-1e,G,29,P,39,False,False,0,0,10,898,0,False
169,193,Sps Raf,Mars,TRAPPIST-1e,F,41,P,2,True,False,0,0,0,0,0,True
170,193,Frook Raf,Mars,TRAPPIST-1e,F,41,P,23,False,False,0,0,8,1072,0,False
171,193,Goles Raf,Mars,TRAPPIST-1e,F,41,P,0,False,False,0,0,0,0,0,True
172,195,Bar Floaf,Mars,TRAPPIST-1e,F,42,P,39,False,False,406,0,867,0,0,True
173,196,Caper Emead,Mars,PSO J318.5-22,D,5,P,25,False,False,1052,0,719,0,7,False
174,197,Astrak Dissper,Europa,TRAPPIST-1e,C,5,P,36,False,False,0,972,0,795,575,False
175,198,Jeroy Cookson,Earth,PSO J318.5-22,G,30,P,52,False,False,0,0,0,0,0,True
176,199,Regana Morrows,Earth,TRAPPIST-1e,G,33,S,18,True,False,0,0,0,0,0,False
177,200,Elia Colomonson,Earth,TRAPPIST-1e,G,31,P,15,True,False,0,0,0,0,0,True
178,201,Kaffias Bacistion,Europa,TRAPPIST-1e,B,3,S,35,True,False,0,0,0,0,0,True
179,201,Edaruma Bacistion,Europa,TRAPPIST-1e,B,3,S,47,True,False,0,0,0,0,0,True
180,202,Pomera Embleng,Europa,55 Cancri e,B,9,P,45,True,False,0,0,0,0,0,True
181,202,Vegas Embleng,Europa,55 Cancri e,A,2,P,29,False,False,0,2433,0,878,443,True
182,203,Ancham Heateele,Europa,TRAPPIST-1e,C,8,S,51,True,False,0,0,0,0,0,True
183,205,Carma Oneiles,Earth,TRAPPIST-1e,G,34,S,29,False,False,0,2,66,0,705,False
184,206,Nuson Brugashed,Europa,55 Cancri e,C,9,S,31,False,False,2,1720,12,1125,122,True
185,207,Thony Mcfaddennon,Earth,PSO J318.5-22,G,32,P,19,True,False,0,0,0,0,0,False
186,210,Arraid Inicont,Earth,55 Cancri e,D,6,P,24,True,False,0,0,0,0,0,True
187,211,Pebuts Appie,Mars,TRAPPIST-1e,F,44,P,29,False,False,902,1,137,0,0,True
188,211,Corsh Appie,Mars,TRAPPIST-1e,F,44,P,11,True,False,0,0,0,0,0,True
189,211,Picers Date,Mars,TRAPPIST-1e,F,44,P,17,False,False,848,0,307,182,0,False
190,212,Inen Workmans,Earth,TRAPPIST-1e,E,9,P,13,False,False,192,0,0,51,739,False
191,212,Shally Workmans,Earth,TRAPPIST-1e,F,45,P,35,False,False,147,188,0,10,387,False
192,213,Carita Navages,Earth,TRAPPIST-1e,F,46,P,21,False,False,367,281,0,0,146,False
193,216,Searla Garnes,Earth,55 Cancri e,F,40,S,21,False,False,0,56,0,0,1918,False
194,217,Prilly Shieldson,Earth,TRAPPIST-1e,F,47,P,38,False,False,1517,0,0,27,0,False
195,219,Nica River,Earth,TRAPPIST-1e,G,36,P,19,True,False,0,0,0,0,0,True
196,220,Tyle Wilsoney,Earth,TRAPPIST-1e,G,37,P,2,True,False,0,0,0,0,0,True
197,220,Wena Wilsoney,Earth,TRAPPIST-1e,G,37,P,0,False,False,0,0,0,0,0,True
198,220,Branca Wilsoney,Earth,TRAPPIST-1e,G,37,P,13,True,False,0,0,0,0,0,False
199,220,Dont Wilsoney,Earth,TRAPPIST-1e,E,10,P,25,False,False,122,84,0,0,0,False
200,220,Velyne Wilsoney,Earth,TRAPPIST-1e,F,48,P,16,False,False,0,3,0,0,1099,False
201,220,Weney Wilsoney,Earth,55 Cancri e,G,37,P,1,False,False,0,0,0,0,0,False
202,220,Guye Wilsoney,Earth,TRAPPIST-1e,G,37,P,15,True,False,0,0,0,0,0,True
203,221,Cowhex Blan,Mars,55 Cancri e,E,13,S,21,False,False,2237,0,119,0,0,False
204,221,Yogark Reke,Mars,TRAPPIST-1e,E,13,S,23,False,False,1215,80,1,2,0,False
205,221,Jacks Reke,Mars,TRAPPIST-1e,E,13,S,33,False,False,1933,12,188,1,0,False
206,221,Eerch Reke,Mars,TRAPPIST-1e,E,13,S,21,True,False,0,0,0,0,0,True
207,221,Panbug Reke,Mars,TRAPPIST-1e,E,13,S,41,False,False,1230,0,301,43,1023,False
208,221,Gran Reke,Mars,TRAPPIST-1e,E,13,S,16,False,False,915,0,221,234,0,False
209,221,Rohs Reke,Mars,TRAPPIST-1e,E,13,S,42,True,False,0,0,0,0,0,False
210,222,Gone Perte,Mars,TRAPPIST-1e,F,41,S,20,False,False,1406,0,0,11,0,False
211,222,Colf Deva,Mars,TRAPPIST-1e,F,41,S,24,True,False,0,0,0,0,0,True
212,222,Grake Perte,Mars,TRAPPIST-1e,E,14,S,16,True,False,0,0,0,0,0,True
213,223,Evan Sykess,Earth,TRAPPIST-1e,G,35,S,21,False,False,0,2,665,0,9,False
214,224,Blues Queen,Mars,TRAPPIST-1e,F,42,S,32,False,True,181,0,5,1634,0,False
215,225,Carly Hortis,Earth,PSO J318.5-22,G,38,P,58,True,False,0,0,0,0,0,True
216,229,Done Sellahaney,Earth,TRAPPIST-1e,F,43,S,24,False,False,4,7,0,713,79,False
217,231,Krus Nate,Mars,TRAPPIST-1e,F,44,S,30,False,False,85,0,1,1720,0,False
218,232,Nica Bakerrison,Earth,PSO J318.5-22,G,36,S,27,True,False,0,58,0,0,0,False
219,233,Teda Wist,Mars,TRAPPIST-1e,F,45,S,32,False,False,56,0,256,1438,0,False
220,234,Keitha Josey,Earth,TRAPPIST-1e,F,50,P,43,False,False,1517,888,0,0,0,False
221,237,Weias Aginge,Europa,TRAPPIST-1e,B,11,P,42,True,False,0,0,0,0,0,True
222,239,Diedow Resty,Mars,TRAPPIST-1e,E,558,P,37,False,False,637,0,0,92,319,False
223,240,Puffes Crie,Mars,TRAPPIST-1e,F,52,P,35,True,False,0,0,0,0,0,True
224,241,Alas Dischod,Europa,55 Cancri e,E,11,P,33,False,False,0,1249,0,4812,1116,False
225,242,Almone Sté,Earth,TRAPPIST-1e,F,46,S,18,False,False,313,1,691,283,0,False
226,243,Lilace Cartyernan,Earth,TRAPPIST-1e,G,37,S,21,True,False,0,0,0,0,0,False
227,244,Froos Sad,Mars,TRAPPIST-1e,E,450,S,43,True,False,0,0,0,0,0,True
228,244,Tous Sad,Mars,55 Cancri e,F,47,S,14,True,False,0,0,0,0,0,True
229,245,Glueba Repumparte,Europa,55 Cancri e,C,6,P,46,False,False,0,3571,0,0,7,True
230,245,Anchib Repumparte,Europa,TRAPPIST-1e,C,6,P,33,False,False,0,86,796,584,10912,False
231,246,Mele Sesa,Mars,TRAPPIST-1e,D,8,P,21,False,False,2947,0,287,27,0,False
232,248,Genifi Spanxibus,Europa,TRAPPIST-1e,C,10,S,33,False,False,0,1,0,8620,1063,False
233,250,Camily Kramosley,Earth,PSO J318.5-22,G,38,S,47,True,False,0,0,0,0,0,False
234,251,Diphah Amsive,Europa,55 Cancri e,C,11,S,54,True,False,0,0,0,0,0,True
235,252,Leenny Byerry,Earth,TRAPPIST-1e,F,53,P,30,False,False,335,695,541,0,0,False
236,253,Dawne Cardner,Earth,TRAPPIST-1e,G,42,P,29,False,False,272,615,0,0,1,False
237,254,Race Stenson,Earth,TRAPPIST-1e,F,54,P,21,False,False,702,172,408,2,6,True
238,255,Ashir Mingious,Europa,TRAPPIST-1e,A,3,S,24,True,False,0,0,0,0,0,True
239,257,Errohs Berte,Mars,55 Cancri e,F,49,S,21,False,False,1664,0,655,0,0,False
240,257,Squars Berte,Mars,TRAPPIST-1e,F,49,S,60,True,False,0,0,0,0,0,True
241,258,Feryla Cooperkins,Earth,TRAPPIST-1e,F,50,S,22,False,False,0,0,313,299,92,False
242,260,Segino Inderly,Europa,TRAPPIST-1e,E,16,S,26,False,False,0,4810,0,981,2054,False
243,261,Dord Bookerson,Earth,TRAPPIST-1e,F,56,P,26,False,False,66,29,0,0,803,False
244,263,Maen Merkins,Earth,TRAPPIST-1e,G,43,P,28,True,False,0,0,0,0,0,True
245,265,Etair Herpumble,Europa,TRAPPIST-1e,D,8,S,39,True,False,0,0,0,0,0,True
246,267,Lilace Sancockett,Earth,TRAPPIST-1e,F,51,S,13,False,False,118,0,0,754,1,False
247,269,Lerome Polliamposs,Earth,55 Cancri e,F,52,S,47,False,False,0,231,592,0,0,True
248,270,Cathya Fryersonis,Earth,TRAPPIST-1e,F,59,P,63,False,False,0,25,128,0,1240,False
249,275,Terf Obnoble,Europa,55 Cancri e,D,9,S,35,True,False,0,0,0,0,0,True
250,277,Byront Mcdanield,Earth,55 Cancri e,F,61,P,50,False,False,44,2390,0,53,0,True
251,278,Judya Beachez,Earth,TRAPPIST-1e,C,42,P,35,False,False,0,0,0,888,0,False
252,278,Marice Beachez,Earth,TRAPPIST-1e,G,45,P,45,False,False,0,97,0,14,333,False
253,281,Derine Pierry,Earth,TRAPPIST-1e,F,63,P,19,False,False,0,0,2078,0,0,True
254,282,Valex Baketton,Earth,TRAPPIST-1e,F,54,S,21,False,False,0,918,0,0,0,True
255,283,Jacky Santin,Earth,PSO J318.5-22,G,46,P,29,True,False,0,0,0,0,0,True
256,283,Roydo Santin,Earth,TRAPPIST-1e,F,64,P,22,False,False,146,654,1,0,2,True
257,285,Krabik Invebodene,Europa,TRAPPIST-1e,E,16,P,14,True,False,0,0,0,0,0,True
258,285,Grasath Invebodene,Europa,55 Cancri e,E,16,P,42,True,False,0,0,0,0,0,True
259,286,Carita Jimes,Earth,55 Cancri e,F,65,P,57,False,False,3,1281,29,162,13,False
260,287,Tetra Bootty,Europa,55 Cancri e,G,237,S,39,True,False,0,0,0,0,0,True
261,287,Alasym Bootty,Europa,TRAPPIST-1e,B,12,P,28,False,False,0,587,32,6,1460,False
262,288,Gory Delez,Earth,55 Cancri e,F,55,S,19,False,False,0,0,0,0,828,False
263,289,Furuson Objeciane,Europa,55 Cancri e,C,12,S,19,True,False,0,0,0,0,0,True
264,290,Skaton Excialing,Europa,55 Cancri e,B,7,S,26,False,False,0,4458,0,1157,262,True
265,290,Algor Excialing,Europa,TRAPPIST-1e,B,7,S,17,True,False,0,0,0,0,0,True
266,290,Dhenar Excialing,Europa,TRAPPIST-1e,B,7,S,43,False,False,0,0,0,0,0,True
